Timestamp,Event,Instrument,Hit_Depth,Confidence
1765556502254,Hit,Boom,0,1.0
1765556502556,Hit,Boom,0,1.0
1765556502986,Hit,Boom,0,1.0
1765556503521,Hit,Boom,0,1.0
1765556510557,NoteOff,Piano_A,0,0
1765556510756,NoteOn,Piano_A,234.0,1.0
1765556512721,NoteOff,Piano_A,0,0
1765556516192,Hit,Boom,0,1.0
1765556516460,Hit,Boom,0,1.0
1765556516561,Hit,Boom,0,1.0
1765556517124,Hit,Boom,0,1.0
1765556518826,Hit,Boom,0,1.0
1765556520626,Hit,Boom,0,1.0
1765556521292,Hit,Boom,0,1.0
1765556522422,Hit,Kick,0,1.0
1765556523090,Hit,Kick,0,1.0
1765556523697,Hit,Kick,0,1.0
1765556527052,Hit,Boom,0,1.0
1765556527384,Hit,Boom,0,1.0
1765556527918,Hit,Boom,0,1.0
1765556528554,Hit,Boom,0,1.0
1765556529287,Hit,Boom,0,1.0
1765556529450,Hit,Boom,0,1.0
1765556531085,Hit,Boom,0,1.0
